Name;category;city;subname
4full_Manon MARCHAND _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS10
4full_Marie CHOLLAT NAMY _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS11
4full_Pauline AGOU _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS12
4full_Pierre Walch _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;full;UPSaclay;UPS13
4full_Raphaelle TAUB  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;full;UPSaclay;UPS14
4full_Tracy DAGHER _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;full;UPSaclay;UPS15
Aurelien BIGO _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS01
Besnik SADRIJI  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS02
Damien MAVALEIX MARCHESSOUX _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS03
Elies GHERBI _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS04
Gwenaëlle JEZEQUEL _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS05
Hana ILLICHOVÁ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS06
Ivan PALAIA _ _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS07
Julie PALCZAK _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS08
Khaoula BEN MESSAOUD _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS09
Manon MARCHAND _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS10
Marie CHOLLAT NAMY _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS11
Pauline AGOU _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS12
Pierre Walch _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;original;UPSaclay;UPS13
Raphaelle TAUB  _ Finale du concours Ma thèse en 180 secondes de l'UPSaclay_transcript.txt;original;UPSaclay;UPS14
Tracy DAGHER _ Finale du concours Ma thèse en 180 secondes de l'Université Paris-Saclay_transcript.txt;original;UPSaclay;UPS15
1_MT180 _ Aurore Fourcot_transcript.txt;beginning;Lorraine;LOR01
1_MT180 _ David Bekaert - 1er Prix du Jury_transcript.txt;beginning;Lorraine;LOR02
1_MT180 _ Elodie Cortelazzo - Polisini - 2ème Prix du Jury_transcript.txt;beginning;Lorraine;LOR03
1_MT180 _ François Le Cor - 3ème Prix du Jury_transcript.txt;beginning;Lorraine;LOR04
1_MT180 _ Itsaka Rakotonirina_transcript.txt;beginning;Lorraine;LOR05
1_MT180 _ Laura Déléant_transcript.txt;beginning;Lorraine;LOR06
1_MT180 _ Lisa Jeanson_transcript.txt;beginning;Lorraine;LOR07
1_MT180 _ Lise Maciejewski_transcript.txt;beginning;Lorraine;LOR08
1_MT180 _ Romane Tisserand_transcript.txt;beginning;Lorraine;LOR09
1_MT180 _ Timothée Audinot_transcript.txt;beginning;Lorraine;LOR10
2_MT180 _ Aurore Fourcot_transcript.txt;middle;Lorraine;LOR01
2_MT180 _ David Bekaert - 1er Prix du Jury_transcript.txt;middle;Lorraine;LOR02
2_MT180 _ Elodie Cortelazzo - Polisini - 2ème Prix du Jury_transcript.txt;middle;Lorraine;LOR03
2_MT180 _ François Le Cor - 3ème Prix du Jury_transcript.txt;middle;Lorraine;LOR04
2_MT180 _ Itsaka Rakotonirina_transcript.txt;middle;Lorraine;LOR05
2_MT180 _ Laura Déléant_transcript.txt;middle;Lorraine;LOR06
2_MT180 _ Lisa Jeanson_transcript.txt;middle;Lorraine;LOR07
2_MT180 _ Lise Maciejewski_transcript.txt;middle;Lorraine;LOR08
2_MT180 _ Romane Tisserand_transcript.txt;middle;Lorraine;LOR09
2_MT180 _ Timothée Audinot_transcript.txt;middle;Lorraine;LOR10
3_MT180 _ Aurore Fourcot_transcript.txt;end;Lorraine;LOR01
3_MT180 _ David Bekaert - 1er Prix du Jury_transcript.txt;end;Lorraine;LOR02
3_MT180 _ Elodie Cortelazzo - Polisini - 2ème Prix du Jury_transcript.txt;end;Lorraine;LOR03
3_MT180 _ François Le Cor - 3ème Prix du Jury_transcript.txt;end;Lorraine;LOR04
3_MT180 _ Itsaka Rakotonirina_transcript.txt;end;Lorraine;LOR05
3_MT180 _ Laura Déléant_transcript.txt;end;Lorraine;LOR06
3_MT180 _ Lisa Jeanson_transcript.txt;end;Lorraine;LOR07
3_MT180 _ Lise Maciejewski_transcript.txt;end;Lorraine;LOR08
3_MT180 _ Romane Tisserand_transcript.txt;end;Lorraine;LOR09
3_MT180 _ Timothée Audinot_transcript.txt;end;Lorraine;LOR10
4full_MT180 _ Aurore Fourcot_transcript.txt;full;Lorraine;LOR01
4full_MT180 _ David Bekaert - 1er Prix du Jury_transcript.txt;full;Lorraine;LOR02
4full_MT180 _ Elodie Cortelazzo - Polisini - 2ème Prix du Jury_transcript.txt;full;Lorraine;LOR03
4full_MT180 _ François Le Cor - 3ème Prix du Jury_transcript.txt;full;Lorraine;LOR04
4full_MT180 _ Itsaka Rakotonirina_transcript.txt;full;Lorraine;LOR05
4full_MT180 _ Laura Déléant_transcript.txt;full;Lorraine;LOR06
4full_MT180 _ Lisa Jeanson_transcript.txt;full;Lorraine;LOR07
4full_MT180 _ Lise Maciejewski_transcript.txt;full;Lorraine;LOR08
4full_MT180 _ Romane Tisserand_transcript.txt;full;Lorraine;LOR09
4full_MT180 _ Timothée Audinot_transcript.txt;full;Lorraine;LOR10
MT180 _ Aurore Fourcot_transcript.txt;original;Lorraine;LOR01
MT180 _ David Bekaert - 1er Prix du Jury_transcript.txt;original;Lorraine;LOR02
MT180 _ Elodie Cortelazzo - Polisini - 2ème Prix du Jury_transcript.txt;original;Lorraine;LOR03
MT180 _ François Le Cor - 3ème Prix du Jury_transcript.txt;original;Lorraine;LOR04
MT180 _ Itsaka Rakotonirina_transcript.txt;original;Lorraine;LOR05
MT180 _ Laura Déléant_transcript.txt;original;Lorraine;LOR06
MT180 _ Lisa Jeanson_transcript.txt;original;Lorraine;LOR07
MT180 _ Lise Maciejewski_transcript.txt;original;Lorraine;LOR08
MT180 _ Romane Tisserand_transcript.txt;original;Lorraine;LOR09
MT180 _ Timothée Audinot_transcript.txt;original;Lorraine;LOR10
1_Annabel Celeste - Université de La Réunion - 2ème prix du jury - MT180 2019_transcript.txt;beginning;LaRéunion;LRE01
1_Camille Paquez - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE02
1_Daniel Poultney - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE03
1_Emeline De Boisvilliers - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE04
1_Eve Etienne - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE05
1_Hélène Caillet - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE06
1_Josselin Le Gal La Salle - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE07
1_Ludovic Fontaine - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE08
1_Maïté Bernhard - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE09
1_Maximin Bonnet - Université de La Réunion - 1er prix du jury et prix du public - MT180 2019_transcript.txt;beginning;LaRéunion;LRE10
1_Michaël Rakotobe - Université de La Réunion - MT180 2019_transcript.txt;beginning;LaRéunion;LRE11
2_Annabel Celeste - Université de La Réunion - 2ème prix du jury - MT180 2019_transcript.txt;middle;LaRéunion;LRE01
2_Camille Paquez - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE02
2_Daniel Poultney - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE03
2_Emeline De Boisvilliers - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE04
2_Eve Etienne - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE05
2_Hélène Caillet - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE06
2_Josselin Le Gal La Salle - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE07
2_Ludovic Fontaine - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE08
2_Maïté Bernhard - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE09
2_Maximin Bonnet - Université de La Réunion - 1er prix du jury et prix du public - MT180 2019_transcript.txt;middle;LaRéunion;LRE10
2_Michaël Rakotobe - Université de La Réunion - MT180 2019_transcript.txt;middle;LaRéunion;LRE11
3_Annabel Celeste - Université de La Réunion - 2ème prix du jury - MT180 2019_transcript.txt;end;LaRéunion;LRE01
3_Camille Paquez - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE02
3_Daniel Poultney - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE03
3_Emeline De Boisvilliers - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE04
3_Eve Etienne - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE05
3_Hélène Caillet - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE06
3_Josselin Le Gal La Salle - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE07
3_Ludovic Fontaine - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE08
3_Maïté Bernhard - Université de La Réunion - MT180 2019_transcript.txt;end;LaRéunion;LRE09
3_Maximin Bonnet - Université de La Réunion - 1er prix du jury et prix du public - MT180 2019_transcript.txt;end;LaRéunion;LRE10
